w_cat,T,p_tot,F_in_N2,F_in_AAc,F_in_Fa,F_in_H2O,F_in_AA,F_out_N2,F_out_AAc,F_out_Fa,F_out_H2O,F_out_AA
0.5,623.0,1.0,0.001,0.003,0.0004,0.005600000000000001,0.0,0.001003472254931765,0.003008910183410932,0.0003954634646256758,0.005520857248694393,2.6814999411971204e-06
0.5,623.0,1.0,0.001,0.003,0.0008,0.005200000000000001,0.0,0.0009937380099031884,0.0030449779079439235,0.0008067026913334095,0.00513611228750911,5.7238432452059216e-06
0.5,623.0,1.0,0.001,0.003,0.0012,0.0048,0.0,0.0009936960469224946,0.0029974570891986322,0.0012107810418010164,0.004837521931737868,9.467322238467849e-06
0.5,648.0,1.0,0.001,0.003,0.0004,0.005600000000000001,0.0,0.0009888277598280543,0.003045386271439634,0.0003992604511911618,0.005557796124479054,7.906610437688667e-06
0.5,648.0,1.0,0.001,0.003,0.0008,0.005200000000000001,0.0,0.000995343263087162,0.003005546439988105,0.0007986473263472218,0.005274863049718546,1.644765276801962e-05
0.5,648.0,1.0,0.001,0.003,0.0012,0.0048,0.0,0.000992165820565905,0.00302965343139059,0.0011926217216695584,0.004830598671326284,2.7620364684532382e-05
0.5,673.0,1.0,0.001,0.003,0.0004,0.005600000000000001,0.0,0.0010040685346325517,0.003026749723187542,0.00037615013719126774,0.005646740238577165,2.0359685537399823e-05
0.5,673.0,1.0,0.001,0.003,0.0008,0.005200000000000001,0.0,0.0009992440093280035,0.0029574776792216225,0.0007637297847808444,0.005219809502708698,4.334484835831166e-05
0.5,673.0,1.0,0.001,0.003,0.0012,0.0048,0.0,0.0009961523545836634,0.002952046676148852,0.0011242082363926134,0.004905287098289162,7.100403267297412e-05
0.5,623.0,1.0,0.003,0.009,0.0012,0.016800000000000002,0.0,0.0029825594473682597,0.00917175621343384,0.0012124830336583423,0.017109348236458252,2.74911599497675e-06
0.5,623.0,1.0,0.003,0.009,0.0024,0.0156,0.0,0.003009882519130834,0.008953777196582744,0.0023936770578448755,0.01573813843405374,5.878770614443082e-06
0.5,623.0,1.0,0.003,0.009,0.0036,0.0144,0.0,0.0029843694589581807,0.009118773935682613,0.0036520415590970677,0.014133884805760092,9.602474299950957e-06
0.5,648.0,1.0,0.003,0.009,0.0012,0.016800000000000002,0.0,0.0030372265133958667,0.008913471082907376,0.0011960658200395858,0.016547417630421196,7.926797647557564e-06
0.5,648.0,1.0,0.003,0.009,0.0024,0.0156,0.0,0.0030541877545891476,0.008874263392244194,0.0023457437262473777,0.015754814936555648,1.6944620661070623e-05
0.5,648.0,1.0,0.003,0.009,0.0036,0.0144,0.0,0.002943419707782446,0.00909402199903344,0.0036084789936164595,0.014341963975974682,2.7156901298356775e-05
0.5,673.0,1.0,0.003,0.009,0.0012,0.016800000000000002,0.0,0.0030461554344481515,0.008876943331968248,0.0011758888923512616,0.01713155641173994,2.11496014197514e-05
0.5,673.0,1.0,0.003,0.009,0.0024,0.0156,0.0,0.003046346350206388,0.009119866462096286,0.0023363856026840635,0.01590963908134292,4.448965085594837e-05
0.5,673.0,1.0,0.003,0.009,0.0036,0.0144,0.0,0.0029581636430888146,0.009099489639072972,0.003578870499328934,0.014278283529311387,7.194383019401317e-05
