w_cat,T,p_tot,F_in_N2,F_in_AAc,F_in_Fa,F_in_H2O,F_in_AA,F_out_N2,F_out_AAc,F_out_Fa,F_out_H2O,F_out_AA
0.2,623.0,1.0,0.002,0.006,0.032,4e-10,0.0,0.0019697792466399342,0.005941153610592758,0.031897488290910624,3.5901686607119664e-05,3.579397274875342e-05
0.2,623.0,1.0,0.002,0.004,0.034,4e-10,0.0,0.0019748011283104994,0.003957888973001044,0.03459782658699904,3.5310911369977016e-05,3.599559135667825e-05
0.2,623.0,1.0,0.002,0.002,0.036000000000000004,4e-10,0.0,0.0020173742725944173,0.0019646941748804655,0.03622991704465871,3.5725790476561e-05,3.6232071891534577e-05
0.2,648.0,1.0,0.002,0.006,0.032,4e-10,0.0,0.001987447850325206,0.005863054498711337,0.031778843759892296,0.00011251319564379646,0.00011234556831292299
0.2,648.0,1.0,0.002,0.004,0.034,4e-10,0.0,0.00196155484866683,0.003938517361866174,0.033455320945729124,0.00011562264362225358,0.00011261637364588544
0.2,648.0,1.0,0.002,0.002,0.036000000000000004,4e-10,0.0,0.0020374204272855067,0.0018602155685486133,0.03596551319718229,0.000116423556939138,0.00011207432193095105
0.2,673.0,1.0,0.002,0.006,0.032,4e-10,0.0,0.001968820870817506,0.005661921237812675,0.03192893177321345,0.0003309870840759398,0.00033870623787968457
0.2,673.0,1.0,0.002,0.004,0.034,4e-10,0.0,0.0019963081129329213,0.0037240430317793285,0.033132875159657994,0.0003411261131398891,0.0003370325547669259
0.2,673.0,1.0,0.002,0.002,0.036000000000000004,4e-10,0.0,0.00198883228863577,0.0016325134733428629,0.03612495083148598,0.00033530934228658986,0.00033867078696601466
0.2,623.0,1.0,0.003,0.009,0.048,6e-10,0.0,0.003015903136651979,0.008814820823586056,0.048236130282736066,3.630277039607507e-05,3.5410311853226404e-05
0.2,623.0,1.0,0.003,0.006,0.051,6e-10,0.0,0.0029773751326715287,0.005917234839964188,0.05079252988680592,3.590065017550957e-05,3.5841979005313786e-05
0.2,623.0,1.0,0.003,0.003,0.054,6e-10,0.0,0.0030184856032569748,0.0029633456519762573,0.05382805542868296,3.511860686261145e-05,3.546133870395388e-05
0.2,648.0,1.0,0.003,0.009,0.048,6e-10,0.0,0.002944359781575561,0.0089750579440649,0.04860487426963663,0.0001123689736885316,0.00011546315019768646
0.2,648.0,1.0,0.003,0.006,0.051,6e-10,0.0,0.0029518004331067537,0.005893251356986337,0.05074025492136474,0.00011628121411886848,0.00011639530657759203
0.2,648.0,1.0,0.003,0.003,0.054,6e-10,0.0,0.0029795303044370795,0.0029217722594758844,0.05471559948428094,0.00011396124388843107,0.00011485923704242058
0.2,673.0,1.0,0.003,0.009,0.048,6e-10,0.0,0.002970924935962508,0.008784017951808309,0.04748892035838619,0.00033429346748115377,0.0003324510618616192
0.2,673.0,1.0,0.003,0.006,0.051,6e-10,0.0,0.002943166844689919,0.005650161504089758,0.05048149292139994,0.00033887131501604464,0.0003288416319561988
0.2,673.0,1.0,0.003,0.003,0.054,6e-10,0.0,0.0029962077170909906,0.0026888786595775983,0.05418396855713869,0.00033589575549328453,0.0003369441695104914
