w_cat,T,p_tot,F_in_N2,F_in_AAc,F_in_Fa,F_in_H2O,F_in_AA,F_out_N2,F_out_AAc,F_out_Fa,F_out_H2O,F_out_AA
0.2,723.0,1.0,0.0099,1e-05,2e-05,7.000000000000001e-05,0.0,0.009868201276295832,6.794120763459896e-06,1.7119795566125107e-05,7.423487546882545e-05,3.087583062119011e-06
0.2,723.0,1.0,0.0099,1e-05,3e-05,6e-05,0.0,0.009818927919674694,5.310518875416776e-06,2.5422763280209163e-05,6.601838720373045e-05,4.747146019354878e-06
0.2,723.0,1.0,0.0099,1e-05,4e-05,5e-05,0.0,0.010025269069202244,3.727853002773736e-06,3.4035286109745354e-05,5.637843426520994e-05,6.231755534266429e-06
0.2,748.0,1.0,0.0099,1e-05,2e-05,7.000000000000001e-05,0.0,0.010094629448991256,7.254949631975153e-06,1.7388136571900453e-05,7.235924174186087e-05,2.6567037909036697e-06
0.2,748.0,1.0,0.0099,1e-05,3e-05,6e-05,0.0,0.009766571032188196,5.8064673003167e-06,2.5812370141297464e-05,6.324658093053112e-05,4.152671342067913e-06
0.2,748.0,1.0,0.0099,1e-05,4e-05,5e-05,0.0,0.009728427928020682,4.379400216063064e-06,3.413237363603239e-05,5.541184630077463e-05,5.712711954058022e-06
0.2,773.0,1.0,0.0099,1e-05,2e-05,7.000000000000001e-05,0.0,0.010071155353295568,7.590998447292736e-06,1.7419976668041808e-05,7.31005927580715e-05,2.2915141265191247e-06
0.2,773.0,1.0,0.0099,1e-05,3e-05,6e-05,0.0,0.010089247962787108,6.2210307722763255e-06,2.619490223867259e-05,6.417089520201259e-05,3.594457429852878e-06
0.2,773.0,1.0,0.0099,1e-05,4e-05,5e-05,0.0,0.009832108159517712,4.927279208406768e-06,3.4734733865635344e-05,5.500704000617492e-05,5.116966531237904e-06
0.2,723.0,1.0,0.029699999999999997,3e-05,6e-05,0.00021,0.0,0.02985820655283483,2.6193410746013507e-05,5.566615025448956e-05,0.0002117060306253202,3.772312697454019e-06
0.2,723.0,1.0,0.029699999999999997,3e-05,8.999999999999999e-05,0.00017999999999999998,0.0,0.029538401596623905,2.3471452019803884e-05,8.391287661003222e-05,0.00018396286103761246,6.247257000063672e-06
0.2,723.0,1.0,0.029699999999999997,3e-05,0.00012,0.00015,0.0,0.02965383938768542,2.045979299478116e-05,0.00011007726430753961,0.00016011491724271412,9.348916779750017e-06
0.2,748.0,1.0,0.029699999999999997,3e-05,6e-05,0.00021,0.0,0.029239952122486736,2.731864455054802e-05,5.633557877726905e-05,0.00021503758167871074,3.174658943771248e-06
0.2,748.0,1.0,0.029699999999999997,3e-05,8.999999999999999e-05,0.00017999999999999998,0.0,0.02958459258383877,2.454843952758491e-05,8.428373217143593e-05,0.00018711851460653377,5.1783794283740436e-06
0.2,748.0,1.0,0.029699999999999997,3e-05,0.00012,0.00015,0.0,0.029339784432678387,2.21296348568593e-05,0.000114109392657163,0.00015970710240002813,7.751513994421758e-06
0.2,773.0,1.0,0.029699999999999997,3e-05,6e-05,0.00021,0.0,0.030113620441640735,2.6951047648319345e-05,5.753052814474822e-05,0.00021293091821230514,2.6686125547814825e-06
0.2,773.0,1.0,0.029699999999999997,3e-05,8.999999999999999e-05,0.00017999999999999998,0.0,0.029270398644336237,2.5950760761383672e-05,8.59988945156946e-05,0.00018360811529250363,4.412374488952122e-06
0.2,773.0,1.0,0.029699999999999997,3e-05,0.00012,0.00015,0.0,0.029301523078889207,2.3331178051821243e-05,0.0001121761959015548,0.00015526774419903142,6.800096918353254e-06
