w_cat,T,p_tot,F_in_Ar,F_in_N2,F_in_H2,F_in_NH3,F_out_Ar,F_out_N2,F_out_H2,F_out_NH3
0.5,650.0,50.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.003010149794601262,0.006981589004629642,1.0203229484609518e-05
0.5,650.0,50.0,0.0,0.004,0.006,0.0,0.0,0.004010709633234639,0.005985762520731862,1.550934925048339e-05
0.5,650.0,50.0,0.0,0.005,0.005,0.0,0.0,0.005086454870663691,0.0050324334722522835,2.2544557362969718e-05
0.5,700.0,50.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.0029034215674791242,0.00691717371114159,8.390810449051399e-05
0.5,700.0,50.0,0.0,0.004,0.006,0.0,0.0,0.00397317930622891,0.005843541889368076,0.00012711377706880775
0.5,700.0,50.0,0.0,0.005,0.005,0.0,0.0,0.004816180084621767,0.004774703181023108,0.00018439756034452996
0.5,750.0,50.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.0027929592462533014,0.006314064086188114,0.0005128235248011649
0.5,750.0,50.0,0.0,0.004,0.006,0.0,0.0,0.003556212993240474,0.0049017861355967595,0.0008044133967655139
0.5,750.0,50.0,0.0,0.005,0.005,0.0,0.0,0.004424232203070972,0.003175979173445736,0.0012085779634459046
0.5,650.0,100.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.002943128566609811,0.007032599947962974,1.1470816205641247e-05
0.5,650.0,100.0,0.0,0.004,0.006,0.0,0.0,0.003953834364921642,0.005996859992850155,1.7119788241212868e-05
0.5,650.0,100.0,0.0,0.005,0.005,0.0,0.0,0.00489615566430359,0.004952683116550832,2.5713746092673844e-05
0.5,700.0,100.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.0029893667721078536,0.006862729123510614,9.175565187225576e-05
0.5,700.0,100.0,0.0,0.004,0.006,0.0,0.0,0.003850709260697903,0.005896951557755888,0.00014391753663696642
0.5,700.0,100.0,0.0,0.005,0.005,0.0,0.0,0.0048702970876221335,0.00467229758411168,0.00021274464902988922
0.5,750.0,100.0,0.0,0.003,0.006999999999999999,0.0,0.0,0.002669053283294121,0.0062217342376570265,0.000562880409042988
0.5,750.0,100.0,0.0,0.004,0.006,0.0,0.0,0.003485716833559667,0.004548989319658124,0.0009051563281493721
0.5,750.0,100.0,0.0,0.005,0.005,0.0,0.0,0.004244138045406068,0.00286910702150834,0.0014341557331935602
