w_cat,T,p_tot,F_in_N2,F_in_ethylene,F_in_butene,F_out_N2,F_out_ethylene,F_out_butene
0.01,273.0,100.0,0.1,1.9,0.0,0.10069753282845025,1.890243627881116,0.0001630409605426975
0.01,273.0,100.0,0.2,1.8,0.0,0.20368979274071677,1.8238962189871595,0.0001545111417990107
0.01,273.0,100.0,0.3,1.7,0.0,0.3043715965338923,1.7296733586683621,0.00014627395577290203
0.01,323.0,100.0,0.1,1.9,0.0,0.0984304366346092,1.8597548458326596,0.014387557285522844
0.01,323.0,100.0,0.2,1.8,0.0,0.19732878358464137,1.7512037793493813,0.013776922561765326
0.01,323.0,100.0,0.3,1.7,0.0,0.30306229207678514,1.6617749539742726,0.013100434438605339
0.01,373.0,100.0,0.1,1.9,0.0,0.10182897047051293,1.3323280700288163,0.29674506124890043
0.01,373.0,100.0,0.2,1.8,0.0,0.19741838837450087,1.2769529926415395,0.2770598988165557
0.01,373.0,100.0,0.3,1.7,0.0,0.30163118903514835,1.2074311244730649,0.25152888502315646
0.01,273.0,150.0,0.1,1.9,0.0,0.0999582647782639,1.8772953613611343,0.00024561203497826375
0.01,273.0,150.0,0.2,1.8,0.0,0.19837670732138693,1.8085128867866143,0.00023796295958786642
0.01,273.0,150.0,0.3,1.7,0.0,0.3023998932708036,1.6989756724459102,0.0002225536848150008
0.01,323.0,150.0,0.1,1.9,0.0,0.09916051734065384,1.8421583715098007,0.02217062129421479
0.01,323.0,150.0,0.2,1.8,0.0,0.19681946090869615,1.728184296318114,0.020586851961776446
0.01,323.0,150.0,0.3,1.7,0.0,0.3014562240148438,1.6727439288691126,0.01970331364881334
0.01,373.0,150.0,0.1,1.9,0.0,0.09927499335918878,1.022249483735986,0.4276824064817392
0.01,373.0,150.0,0.2,1.8,0.0,0.19821105541450904,0.9692163588941458,0.39813925620463103
0.01,373.0,150.0,0.3,1.7,0.0,0.3043161022521761,0.9260322412394825,0.3771750466422245
0.01,273.0,200.0,0.1,1.9,0.0,0.09928857363071808,1.8746269597995187,0.00033632810235409834
0.01,273.0,200.0,0.2,1.8,0.0,0.19792600054163623,1.8252754404649623,0.00030987331416591383
0.01,273.0,200.0,0.3,1.7,0.0,0.30351241869836937,1.7174250575961916,0.0002934860167614556
0.01,323.0,200.0,0.1,1.9,0.0,0.09952954327037797,1.8133262932999983,0.02933127615104177
0.01,323.0,200.0,0.2,1.8,0.0,0.2030535251866631,1.7630538167381424,0.027887525966045074
0.01,323.0,200.0,0.3,1.7,0.0,0.3027091235034562,1.6361164319543824,0.02615086181728633
0.01,373.0,200.0,0.1,1.9,0.0,0.10020632395294267,0.805818095701103,0.5649959609744112
0.01,373.0,200.0,0.2,1.8,0.0,0.1963868907063422,0.7645048779738227,0.5255834041339903
0.01,373.0,200.0,0.3,1.7,0.0,0.29812050780014615,0.7235294084957776,0.4852278484437923
