w_cat,T,p_tot,F_in_N2,F_in_ethylene,F_in_butene,F_out_N2,F_out_ethylene,F_out_butene
0.02,423.0,1.0,0.0099,0.0001,0.0,0.010018636609491907,9.975249544994198e-05,9.033900562170562e-08
0.02,423.0,1.0,0.0095,0.0005,0.0,0.00958457362118096,0.0004970582735587522,2.2436555619347994e-06
0.02,423.0,1.0,0.009000000000000001,0.001,0.0,0.009033984796648934,0.0009821082688559314,8.978846775431735e-06
0.02,473.0,1.0,0.0099,0.0001,0.0,0.010054828077688373,0.00010078708191351209,1.7751473922768417e-07
0.02,473.0,1.0,0.0095,0.0005,0.0,0.009654296011325806,0.0004896180495198938,4.278926330810919e-06
0.02,473.0,1.0,0.009000000000000001,0.001,0.0,0.008893176252479134,0.0009521630892868902,1.682421343998576e-05
0.02,523.0,1.0,0.0099,0.0001,0.0,0.009779196780495922,9.97024654906405e-05,2.999427797682307e-07
0.02,523.0,1.0,0.0095,0.0005,0.0,0.00940331208686438,0.0004770886933539272,7.393353106460436e-06
0.02,523.0,1.0,0.009000000000000001,0.001,0.0,0.008970929588534803,0.0009474787119957396,2.8605976332276966e-05
0.02,423.0,2.0,0.0099,0.0001,0.0,0.010000922696217336,9.900640215188786e-05,3.626114491530324e-07
0.02,423.0,2.0,0.0095,0.0005,0.0,0.009386814164168594,0.0004895122827778904,8.649192976580756e-06
0.02,423.0,2.0,0.009000000000000001,0.001,0.0,0.009107676937597214,0.0009303115163233075,3.399330562305102e-05
0.02,473.0,2.0,0.0099,0.0001,0.0,0.009858548995672635,9.72814780074614e-05,7.024548652421624e-07
0.02,473.0,2.0,0.0095,0.0005,0.0,0.009634471317500833,0.0004758681633706705,1.6771200301444155e-05
0.02,473.0,2.0,0.009000000000000001,0.001,0.0,0.008963474374535577,0.0008660074968241273,6.260828573670152e-05
0.02,523.0,2.0,0.0099,0.0001,0.0,0.010037007361883246,9.594120834728214e-05,1.1757859767394096e-06
0.02,523.0,2.0,0.0095,0.0005,0.0,0.009369488562989782,0.0004457957875312558,2.6545188650321826e-05
0.02,523.0,2.0,0.009000000000000001,0.001,0.0,0.008927248848027933,0.000791272445263067,9.808227414562561e-05
0.02,423.0,3.0,0.0099,0.0001,0.0,0.009985480025075343,9.785738950385577e-05,8.035224624138655e-07
0.02,423.0,3.0,0.0095,0.0005,0.0,0.009576538026506853,0.0004552924693580001,1.862895829826812e-05
0.02,423.0,3.0,0.009000000000000001,0.001,0.0,0.008912870713484866,0.0008521703008167015,7.118571024867147e-05
0.02,473.0,3.0,0.0099,0.0001,0.0,0.010003341579266474,9.850842651096154e-05,1.5555585362942134e-06
0.02,473.0,3.0,0.0095,0.0005,0.0,0.009508834436757513,0.0004395330370652442,3.4006081669422086e-05
0.02,473.0,3.0,0.009000000000000001,0.001,0.0,0.009117397470348353,0.0007567505996332621,0.00012077672156402337
0.02,523.0,3.0,0.0099,0.0001,0.0,0.009719431449744916,9.435512028165905e-05,2.6189083851540133e-06
0.02,523.0,3.0,0.0095,0.0005,0.0,0.009471191017481563,0.0003858274654721776,5.442455501871041e-05
0.02,523.0,3.0,0.009000000000000001,0.001,0.0,0.00892560055869006,0.0006480878365245341,0.00017753826676189565
